,puesto,empresa,ciudad,fecha
0,Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",2021-04-08
1,Energy engineer,Vasquez-Davidson,"Christopherville, AA",2021-04-08
2,Legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",2021-04-08
3,Fitness centre manager,Savage-Bradley,"East Seanview, AP",2021-04-08
4,Product manager,Ramirez Inc,"North Jamieview, AP",2021-04-08
5,Medical technical officer,Rogers-Yates,"Davidville, AP",2021-04-08
6,Physiological scientist,Kramer-Klein,"South Christopher, AE",2021-04-08
7,Textile designer,Meyers-Johnson,"Port Jonathan, AE",2021-04-08
8,Television floor manager,Hughes-Williams,"Osbornetown, AE",2021-04-08
9,Waste management officer,"Jones, Williams and Villa","Scotttown, AP",2021-04-08
10,Software Engineer (Python),Garcia PLC,"Ericberg, AE",2021-04-08
11,Interpreter,Gregory and Sons,"Ramireztown, AE",2021-04-08
12,Architect,"Clark, Garcia and Sosa","Figueroaview, AA",2021-04-08
13,Meteorologist,Bush PLC,"Kelseystad, AA",2021-04-08
14,Audiological scientist,Salazar-Meyers,"Williamsburgh, AE",2021-04-08
15,English as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",2021-04-08
16,Surgeon,Cruz-Brown,"West Jessicabury, AA",2021-04-08
17,Equities trader,Macdonald-Ferguson,"Maloneshire, AE",2021-04-08
18,Newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",2021-04-08
19,Materials engineer,Smith and Sons,"South Davidtown, AP",2021-04-08
20,Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",2021-04-08
21,Product/process development scientist,Gomez-Carroll,"Marktown, AA",2021-04-08
22,"Scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",2021-04-08
23,Ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",2021-04-08
24,Materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",2021-04-08
25,Historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",2021-04-08
26,Data scientist,Thomas Group,"Port Robertfurt, AA",2021-04-08
27,Psychiatrist,Silva-King,"Burnettbury, AE",2021-04-08
