Date,MSFT,FB,AAPL
2021-05-24,249.679993,328.730011,124.610001
2021-05-31,250.789993,330.350006,125.889999
2021-06-07,257.890015,331.26001,127.349998
2021-06-14,259.429993,329.660004,130.460007
2021-06-21,265.019989,341.369995,133.110001
2021-06-28,277.649994,354.700012,139.960007
2021-07-05,277.940002,350.420013,145.110001
2021-07-12,280.75,341.160004,146.389999
2021-07-19,289.670013,369.790009,148.559998
2021-07-26,284.910004,356.299988,145.860001
2021-08-02,289.459991,363.51001,146.139999
2021-08-09,292.850006,363.179993,149.100006
2021-08-16,304.359985,359.369995,148.190002
2021-08-23,299.720001,372.630005,148.600006
2021-08-30,301.140015,376.26001,154.300003
2021-09-06,295.709991,378.690002,148.970001
2021-09-13,299.869995,364.720001,146.059998
2021-09-20,299.350006,352.959991,146.919998
2021-09-27,289.100006,343.01001,142.649994
2021-10-04,294.850006,330.049988,142.899994
2021-10-11,304.209991,324.76001,144.839996
2021-10-18,309.160004,324.609985,148.690002
2021-10-25,331.619995,323.570007,149.800003
2021-11-01,336.059998,341.130005,151.279999
2021-11-08,336.720001,340.890015,149.990005
2021-11-15,343.109985,345.299988,160.550003
2021-11-22,329.679993,333.119995,156.809998
2021-11-29,323.01001,306.839996,161.839996
2021-12-06,342.540009,329.75,179.449997
2021-12-13,323.799988,333.790009,171.139999
2021-12-20,334.690002,335.23999,176.279999
2021-12-27,336.320007,336.350006,177.570007
2022-01-03,314.040009,331.790009,172.169998
2022-01-10,310.200012,331.899994,173.070007
2022-01-17,296.029999,303.170013,162.410004
2022-01-24,308.26001,301.709991,170.330002
2022-01-31,305.940002,237.089996,172.389999
2022-02-07,295.040009,219.550003,168.639999
2022-02-14,287.929993,206.160004,167.300003
2022-02-21,297.309998,210.479996,164.850006
2022-02-28,289.859985,200.059998,163.169998
2022-03-07,280.070007,187.610001,154.729996
2022-03-14,300.429993,216.490005,163.979996
2022-03-21,303.679993,221.820007,174.720001
2022-03-28,309.420013,224.850006,174.309998
2022-04-04,296.970001,222.330002,170.089996
2022-04-11,279.829987,210.179993,165.289993
2022-04-18,274.029999,184.110001,161.789993
2022-04-25,277.519989,200.470001,157.649994
2022-05-02,274.730011,203.770004,157.279999
2022-05-09,261.119995,198.619995,147.110001
2022-05-16,252.559998,193.539993,137.589996
